,反应物,生成物
25223,2.5 Fe2O3 + 1.5 Y2O3 ,1 Y3Fe5O12
25224,x CaCO3 + 1 Nb2O5 + 0.2 SnO2 + 1-x ZnO + 0.8 ZrO2 ,1 CaxZn1-xZr0.8Sn0.2Nb2O8 + x CO2
25225,1 Bi2O3 + 1 CaCO3 + 1.75 CuO + 0.125 Na2CO3 + 2-x SrCO3 + 0.5*x V2O5 ,1 Bi2Sr2-xVxCa1Cu1.75Na0.25O + 3.125-x CO2 + 3.438+0.75*x O2
25226,0.2*x (MgCO3)4-Mg(OH)2\u00b75H2O + 1 TiO2 + 1-x ZnO ,1 (Zn1-xMgx)TiO3 + 0.8*x CO2 + 1.2*x H2O
25227,1 MgO + 1 Ta2O5 + 1 ZrO2 ,1 MgZrTa2O8
25228,0.5 Bi2O3 + 0.5 V2O5 ,1 BiVO4
25229,1 CaCO3 + 0.5 La2O3 + 0.5 Nb2O5 + 1 SnO2 ,1 CaLaSnNbO7 + 1 CO2 ; target CaLaSnNbO7 with additives 0.15Eu3+ via Eu2O3 ; target CaLaSnNbO7 with additives 0.15Eu3+ via Eu2O3
25230,1 CaCO3 + 0.5*x Eu2O3 + 0.5-0.5*x La2O3 + 0.5 Nb2O5 + 1 SnO2 ,1 EuxCaLa1-xSnNbO7 + 1 CO2
25231,1 Nb2O5 + 0.5*x Ni2O3 + 1 TiO2 + 1-x ZnO ,1 Zn1-xNixTiNb2O8 + 0.25*x O2
25232,0.5-0.5*x Bi2O3 + 0.5-0.5*x Fe2O3 + 0.167*x Pr6O11 + x TiO2 ,1 (Bi1-xPrx)(Fe1-xTix)O3 + 0.417*x O2
25233,0.05 Eu2O3 + 0.5 Nb2O5 + 0.45 Sm2O3 + 1 TiO2 ,1 Ln0.9Eu0.1TiNbO6; Ln = Sm
25234,0.05 Eu2O3 + 0.5 Nb2O5 + 0.45 Nd2O3 + 1 TiO2 ,1 Ln0.9Eu0.1TiNbO6; Ln = Nd
25235,0.05 Eu2O3 + 0.5 Nb2O5 + 1 TiO2 + 0.45 Y2O3 ,1 Ln0.9Eu0.1TiNbO6; Ln = Y
25236,0.05 Eu2O3 + 0.5 Nb2O5 + 0.15 Pr6O11 + 1 TiO2 ,1 Ln0.9Eu0.1TiNbO6 + 0.15 O2; Ln = Pr
25237,0.45 Dy2O3 + 0.05 Eu2O3 + 0.5 Nb2O5 + 1 TiO2 ,1 Ln0.9Eu0.1TiNbO6; Ln = Dy
25238,0.25*x Ag2O + 0.25*x Bi2O3 + 0.24-0.24*x K2CO3 + 0.26-0.26*x Na2CO3 + 0.5-0.5*x Nb2O5 + x ZrO2 ,1 (1-x)(K0.48Na0.52)NbO3-x(Bi0.5Ag0.5)ZrO3 + 0.5-0.5*x CO2
25239,0.85-0.5*x Bi2O3 + 2 CaCO3 + 3 CuO + 0.3 PbO + x SnO2 + 2 SrCO3 ,1 Bi1.7-xPb0.3SnxSr2Ca2Cu3O + 4 CO2 + 4.425+0.25*x O2
25240,1 CeO2 + x Eu2O3 + 2-2*x SrCO3 ,1 (Sr1-xEux)2CeO4 + 2-2*x CO2 + 0.5*x O2
25241,x Li2CO3 + 1 SiO2 + 2-2*x SrCO3 + 0.5*x Tb4O7 ,1 (Sr1-xTbxLix)2SiO4 + 2-x CO2 + 1.25*x O2
25242,y Li2CO3 + 0.5-2.25*y O2 + 1 SiO2 + 1 SrCO3 + 0.5*y Tb4O7 ,1 Sr1-(TbyLiy)2SiO4 + 1+y CO2
25243,x BaCO3 + 0.8*y CaCO3 + 0.5 MgO + 0.5-0.5*y Nd2O3 + -0.5*x+0.75*y O2 + 0.5 SnO2 + 0.2*y SrCO3 + y TiO2 ,1 (1-y)Nd(1)-Bax(Mg0.5Sn0.5)O3-yCa0.8Sr0.2TiO3 + x+y CO2
25244,0.334 Bi2O3 + 3 CuO + 4 TiO2 ,1 Bi2/3Cu3Ti4O12
25245,0.245-0.245*x K2CO3 + 0.5*x Li2CO3 + 0.255-0.255*x Na2CO3 + 0.5-0.5*x Nb2O5 + 0.5*x O2 + 0.5*x Sb2O3 ,1 (1-x)K0.49Na0.51NbO3-xLiSbO3 + 0.5 CO2
25246,1 Al2O3 + 1 SrCO3 ,"1 SrAl2O4 + 1 CO2 ; target SrAl2O4 with additives Eu, Dy via Dy2O3, Eu2O3 ; target SrAl2O4 with additives Eu, Dy via Dy2O3, Eu2O3"
25247,2 Bi2O3 + 0.075 CeO2 + 0.01 MnCO3 + 0.42 O2 + 0.01 Ta2O5 + 3.98 TiO2 ,1 (Ce)0.075Bi4Ti3.98M0.02O15-0.01MnCO3; M = Ta
25248,2 Bi2O3 + 0.075 CeO2 + 0.01 MnCO3 + 0.415 O2 + 3.98 TiO2 + 0.02 WO3 ,1 (Ce)0.075Bi4Ti3.98M0.02O15-0.01MnCO3; M = W
25249,2 Bi2O3 + 0.075 CeO2 + 0.01 MnCO3 + 0.01 Nb2O5 + 0.42 O2 + 3.98 TiO2 ,1 (Ce)0.075Bi4Ti3.98M0.02O15-0.01MnCO3; M = Nb
25250,1-x BaCO3 + 0.5*x La2O3 + 0.1-0.025*x TiO2 + 0.9-0.225*x ZrO2 ,1 Ba1-xLax(Zr0.9Ti0.1)1-x/4O3 + 1-x CO2
25251,0.5*z Al2O3 + 3.75 BaCO3 + 4.75 Nd2O3 + 0.25*z O2 + 18-z TiO2 ,1 Ba3.75Nd9.5Ti18-zAlzO54 + 3.75 CO2
25252,1 BaCO3 + 1 Nd2O3 + 4 TiO2 ,1 BaO-Nd2O3-4TiO2 + 1 CO2
25253,0.25*x Al2O3 + 1 CaCO3 + 0.25*x Ta2O5 + 1-x TiO2 ,1 CaTi1-x(Al0.5Ta0.5)xO3 + 1 CO2
25254,1 BaCO3 + 5 TiO2 ,1 BaTi5O11 + 1 CO2
25255,1 BaCO3 + 1 CuO + 2 H3BO3 ,1 BaCu(B2O5) + 1 CO2 + 3 H2O
25256,1 La2O3 + 0.5 Mn2O3 + 1 NiO + 0.25 O2 ,1 La2NiMnO6
25257,0.2 SnO2 + 1 TiO2 + 0.8 ZrO2 ,1 (Zr0.8Sn0.2)TiO4
25258,x CaCO3 + 0.238-0.238*x K2CO3 + 0.025-0.025*x Li2CO3 + 0.238-0.238*x Na2CO3 + 0.465-0.465*x Nb2O5 + 0.035-0.035*x Sb2O5 + x ZrO2 ,1 (1-x)(K0.5Na0.5)0.95Li0.05Nb0.93Sb0.07O3-xMZrO3 + 0.5+0.5*x CO2; M = Ca
25259,0.238-0.238*x K2CO3 + 0.025-0.025*x Li2CO3 + 0.238-0.238*x Na2CO3 + 0.465-0.465*x Nb2O5 + x PbO + 0.035-0.035*x Sb2O5 + x ZrO2 ,1 (1-x)(K0.5Na0.5)0.95Li0.05Nb0.93Sb0.07O3-xMZrO3 + 0.5-0.5*x CO2; M = Pb
25260,x BaCO3 + 0.238-0.238*x K2CO3 + 0.025-0.025*x Li2CO3 + 0.238-0.238*x Na2CO3 + 0.465-0.465*x Nb2O5 + 0.035-0.035*x Sb2O5 + x ZrO2 ,1 (1-x)(K0.5Na0.5)0.95Li0.05Nb0.93Sb0.07O3-xMZrO3 + 0.5+0.5*x CO2; M = Ba
25261,0.238-0.238*x K2CO3 + 0.025-0.025*x Li2CO3 + 0.238-0.238*x Na2CO3 + 0.465-0.465*x Nb2O5 + 0.035-0.035*x Sb2O5 + x SrCO3 + x ZrO2 ,1 (1-x)(K0.5Na0.5)0.95Li0.05Nb0.93Sb0.07O3-xMZrO3 + 0.5+0.5*x CO2; M = Sr
25262,0.85 BaCO3 + 0.15 CaCO3 + 0.9 TiO2 + 0.1 ZrO2 ,1 (Ba0.85Ca0.15)(Ti0.90Zr0.10)O3 + 1 CO2
25263,2 BaCO3 + 3 CuO + 0.25 O2 + 0.5 Y2O3 ,1 YBa2Cu3O7 + 2 CO2
25264,0.5 Al2O3 + 0.5*x La2O3 + 0.5-0.5*x Nd2O3 + 1 SrCO3 ,1 Sr(Nd1-xLax)AlO4 + 1 CO2
25265,1 CaCO3 + 3 CuO + 4 TiO2 ,1 CaCu3Ti4O12 + 1 CO2
25266,0.9-0.9*x BaTiO3 + 0.9*x NaCO3 + 0.1 SrCO3 + 0.1+0.9*x TiO2 ,1 (Ba1-xNax)0.9Sr0.1TiO3 + 0.1+0.9*x CO2
25267,0.9 Al2O3 + 0.1 TiO2 ,1 0.9Al2O3-0.1TiO2
25268,1 NiO + x SnO2 + 1-x TiO2 + 1 ZnO ,1 ZnNi(Ti1-xSnx)O4
25269,0.3 CaCO3 + 0.01 Cr2O3 + 0.49 Mn2O3 + 0.117 Pr6O11 ,1 Pr0.7Ca0.3Mn0.98Cr0.02O3 + 0.3 CO2 + 0.042 O2
25270,6-3*x BaCO3 + 2.4+0.6*x Bi2O3 + 1.6+0.4*x Nd2O3 + 18 TiO2 ,1 Ba6-3x(Nd0.4Bi0.6)8+2xTi18O54 + 6-3*x CO2
25271,1 Li2CO3 + 1 MgO + 3 TiO2 ,1 Li2MgTi3O8 + 1 CO2
25272,1 Li2CO3 + 1 LiF + 1 MgO + 3 TiO2 ,1 Li2MgTi3O8+LiF + 1 CO2
25273,1 Li2CO3 + 0.15 LiF + 0.85 MgO + 3 TiO2 ,1 Li2.15Mg0.85Ti3O7.85F0.15 + 1 CO2
25274,0.1*x Bi2O3 + 0.2-0.2*x CeO2 + 0.7 SrCO3 + 1 TiO2 ,1 (Ce1-xBix)0.2Sr0.7TiO3 + 0.7 CO2 + 0.05-0.05*x O2
25275,0.4 CaCO3 + 0.2 Sm2O3 + 1-x TiO2 + x ZrO2 ,1 Ca0.4Sm0.4(Ti1-xZrx)O3 + 0.4 CO2
25276,0.9 BaCO3 + 0.1 MnO2 + 1-x SrCO3 + 0.6 TiO2 + 0.3 ZrO2 ,1 Ba0.9Sr1-xTi0.6Zr0.3Mn0.1O3 + 1.9-x CO2 + 0.45-0.5*x O2
25277,x CaCO3 + 0.25 Fe2O3 + 0.25 Nb2O5 + 1-x PbO ,1 (Pb1-xCax)(Fe0.5Nb0.5)O3 + x CO2
25278,0.5 Cr2O3 + 0.5-0.5*x La2O3 + 0.25*x O2 + x SrCO3 ,1 La1-xSrxCrO3 + x CO2
25279,0.225 Bi2O3 + 3 CuO + 0.65 NaCO3 + 4 TiO2 ,1 Na0.65Bi0.45Cu3Ti4O12 + 0.65 CO2 + 0.162 O2
25280,1 Ba(NO3)2 + 12 Fe(NO3)3 + 38 [OH-] ,1 BaFe12O19 + 19 H2O + 38 [NO3-]
25281,0.9 Bi2O3 + 1.1 CaCO3 + 2.1 CuO + 2 SrCO3 ,1 Bi1.8Sr2Ca1.1Cu2.1O + 3.1 CO2 + 3.45 O2
25282,1 CaCO3 + 3 CuO + 4 TiO2 ,1 CaCu3Ti4O12 + 1 CO2
25283,1 O2 + 0.25 TiO2 + 0.25 ZrO2 ,1 ((Zr0.25Ti0.25))O3
25284,2 BaCO3 + 2-x CoO + x CuO + 6 Fe2O3 ,1 Ba2Co2-xCuxFe12O22 + 2 CO2
25285,1 CaCO3 + 1 SnO2 ,1 CaSnO3 + 1 CO2
25286,2 CaCO3 + 1 SnO2 ,1 Ca2SnO4 + 2 CO2
25287,2.025 Bi2O3 + 0.025*x K2CO3 + 0.025-0.025*x Na2CO3 + 0.9 SrCO3 + 4 TiO2 ,1 Sr0.9((Na1-xKx)0.5Bi0.5)0.1Bi4Ti4O15 + 0.925 CO2
25288,0.8*y CaCO3 + 1-y SnO2 + 0.2*y SrCO3 + y TiO2 + 2-2*y ZnO ,1 (1-y)Zn2SnO4-yCa0.8Sr0.2TiO3 + y CO2
25289,1-\u03b1 BaCO3 + \u03b1 CaCO3 + 1 Sm2O3 + 4 TiO2 ,1 (Ba1-\u03b1Ca\u03b1)Sm2Ti4O12 + 1 CO2
25290,0.5*x La2O3 + 0.327 Pb3O4 + 0.27 SnO2 + 0.02 SrCO3 + 0.09 TiO2 + 0.64 ZrO2 ,1 Pb0.98-(LaxSr0.02)(Zr0.64Sn0.27Ti0.09)O3 + 0.02 CO2 + 0.163+0.75*x O2
25291,0.338 Bi2O3 + 0.338*x Cr2O3 + 0.338-0.338*x Fe2O3 + 0.325 PbO + 0.325 TiO2 ,1 0.675BiFe1-xCrxO3-0.325PbTiO3
25292,4.2 BaCO3 + 4.6 Nd2O3 + 18 TiO2 ,1 Ba4.2Nd9.2Ti18O54 + 4.2 CO2
25293,2-0.5*x Bi2O3 + 0.5*x Er2O3 + 1 SrCO3 + 4 TiO2 ,1 SrBi4-xErxTi4O15 + 1 CO2
25294,0.75 Bi2O3 + 0.75 Nb2O5 + 1 ZnO ,1 Bi1.5ZnNb1.5O7
25295,x LaCrO3 + 1-x Mg(Al0.7Cr0.3)2O4 ,1 xLaCrO3-(1-x)Mg(Al0.7Cr0.3)2O4
25296,0.85 Bi2O3 + 2 CaCO3 + 3.1 CuO + 0.4 PbO + 2 SrCO3 + x ZrO2 ,1 Bi1.7Pb0.4Sr2.0Ca2.0ZrxCu3.1O + 4 CO2 + 4.525+x O2
25297,1 CaCO3 + 1 CeO2 + 3*x MnO2 + 0.5 Nb2O5 + 1-x SnO2 ,1 CaCe1-Mn2xSn1-xMnxNbO7 + 1 CO2 + 0.25+2*x O2
25298,1 Bi2O3 + 1-x CaCO3 + 0.5*x Eu2O3 + 1 Ta2O5 ,1 Ca1-xEuxBi2Ta2O9 + 1-x CO2 + 0.25*x O2
25299,1 Bi2O3 + 1 CaCO3 + 1 Ta2O5 ,1 CaBi2Ta2O9 + 1 CO2 ; target CaBi2Ta2O9 with additives Eu via Eu2O3 ; target CaBi2Ta2O9 with additives Eu via Eu2O3
25300,0.065 BaCO3 + 0.234 Bi2O3 + 0.234 Na2CO3 + 1 TiO2 ,1 0.935(Bi0.5Na0.5)TiO3-0.065BaTiO3 + 0.299 CO2 ; target 0.935(Bi0.5Na0.5)TiO3-0.065BaTiO3 with additives Pr via Pr6O11 ; target 0.935(Bi0.5Na0.5)TiO3-0.065BaTiO3 with additives Pr via Pr6O11
25301,0.25-0.25*x Bi2O3 + 0.04+0.21*x K2CO3 + 0.21+0.04*x Na2CO3 + 0.5*x Nb2O5 + 1-x TiO2 ,1 (0.84-0.84x)Na0.5Bi0.5TiO3-(0.16-0.16x)K0.5Bi0.5TiO3-xK0.5Na0.5NbO3 + 0.25+0.25*x CO2
25302,1 Al2O3 + 1 SrCO3 ,"1 SrAl2O4 + 1 CO2 ; target SrAl2O4 with additives Eu, Dy via Dy2O3, Eu2O3 ; target SrAl2O4 with additives Eu, Dy via Dy2O3, Eu2O3"
25303,1 BaTiO3 + 0.5 Co2O3 + 1 Fe2O3 ,1 BaTiO3-CoFe2O4 + 0.25 O2
25304,8 BaCO3 + 1 NiO + 3 Ta2O5 ,1 Ba8NiTa6O24 + 8 CO2
25305,8 BaCO3 + 0.333 Co3O4 + 3 Ta2O5 ,1 Ba8CoTa6O24 + 8 CO2 + 0.167 O2
25306,1-x+x*(1-x) BaCO3 + 0.333-0.333*x+0.125*x*(1-x) NiO + 0.334-0.334*x+0.375*x*(1-x) Ta2O5 ,1 (1-x)Ba(Ni1/3Ta2/3)O3-(x(-x+1))Ba(Ni1/8Ta3/4)O3 + 1-x+x*(1-x) CO2
25307,2.5 Fe2O3 + 1.5 Ho2O3 ,1 Ho3Fe5O12
25308,0.5*x Li2CO3 + 0.5-0.25*x O2 + 1 TiO2 ,1 (Li)xTiO3 + 0.5*x CO2
25309,x BaCO3 + 0.5-x MgO + 0.5 Nd2O3 + 0.5 SnO2 ,1 Nd(Mg0.5-xBaxSn0.5)O3 + x CO2
25310,0.5-0.5*x Bi2O3 + 0.5*x Dy2O3 + 0.5 Fe2O3 ,1 DyxBi1-xFeO3
25311,0.5 Li2CO3 + 1 MnCO3 + 1 NH4H2PO4 ,1 LiMnPO4 + 1.5 CO2 + 1.5 H2O + 1 NH3
25312,0.91*x BaCO3 + 0.25-0.25*x Bi2O3 + 0.09*x CaCO3 + 0.018-0.018*x Li2CO3 + 0.232-0.232*x Na2CO3 + 0.084*x SnO2 + 1-0.084*x TiO2 ,1 (1-x)(Bi0.5(Na0.925Li0.075)0.5)TiO3-xBa0.91Ca0.09Ti0.916Sn0.084O3 + 0.25+0.75*x CO2
25313,1 Al2O3 + 1 MgO ,1 MgAl2O4
25314,0.8 CaCO3 + 0.2 SrCO3 + 1 TiO2 ,1 (Ca0.8Sr0.2)TiO3 + 1 CO2
25315,0.8 BaCO3 + 0.2 SrCO3 + 1 TiO2 ,1 Ba0.8Sr0.2TiO3 + 1 CO2
25316,1 CaCO3 + 1 TiO2 ,1 CaTiO3 + 1 CO2
25317,1-x CaCO3 + 0.5*x O2 + 1 TiO2 ,1 Ca1-xTiO3 + 1-x CO2 ; target Ca1-xTiO3 with additives xEu3+ via Eu2O3 ; target Ca1-xTiO3 with additives xEu3+ via Eu2O3
25318,0.8 CaCO3 + 0.5*y Li2CO3 + 0.1-0.25*y O2 + 1 TiO2 ,1 Ca0.800000000000000LiyTiO3 + 0.8+0.5*y CO2 ; target Ca0.800000000000000LiyTiO3 with additives 0.15Eu3+ via Eu2O3 ; target Ca0.800000000000000LiyTiO3 with additives 0.15Eu3+ via Eu2O3
25319,1 CeO2 + 0.5-0.5*x Nb2O5 + 0.5*x Sb2O5 + 1 TiO2 ,1 LnTiSbxNb1-xO6 + 0.25 O2; Ln = Ce
25320,0.5-0.5*x Nb2O5 + 0.167 Pr6O11 + 0.5*x Sb2O5 + 1 TiO2 ,1 LnTiSbxNb1-xO6 + 0.167 O2; Ln = Pr
25321,0.065 BaCO3 + 0.234 Bi2O3 + 0.25*x K2CO3 + 0.005 MnO2 + 0.234-0.25*x Na2CO3 + 1 TiO2 ,1 (0.935-x)Bi0.5Na0.5TiO3-xBi0.5K0.5TiO3-0.065BaTiO3-0.005Mn + 0.299 CO2 + 0.005 O2
25322,0.25 Co2O3 + 0.25 Mn2O3 + 0.5 Tb2O7 ,1 TbCo0.5Mn0.5O3 + 1 O2
25323,0.06 BaCO3 + 0.235 Bi2O3 + 0.235 Na2CO3 + 1 TiO2 ,1 (Na0.5Bi0.5)0.94Ba0.06TiO3 + 0.295 CO2
25324,0.06 BaCO3 + 0.235 Bi2O3 + 0.5*x La2O3 + y MnO2 + 0.235 Na2CO3 + 1-y TiO2 ,1 (Na0.5Bi0.5)0.94Ba0.06-LaxTi1-yMnyO3 + 0.295 CO2 + 0.75*x O2
25325,1-0.5*x Fe2O3 + 1 MgO + x MnO2 ,1 MgMnxFe2-xO4 + 0.25*x O2
25326,0.28-0.28*x BaCO3 + 0.36 Bi2O3 + 0.36 Fe2O3 + 0.14*x Na2CO3 + 0.07*x O2 + 0.28 TiO2 ,1 0.72BiFeO3-0.28Ba1-xNaxTiO3 + 0.28-0.14*x CO2
25327,0.5*x Bi2O3 + 0.5-0.5*x La2O3 + 1 MnO + 0.25 O2 ,1 La1-xBixMnO3
25328,0.29-x BaCO3 + 0.645-1.5*x Bi2O3 + 0.355-0.5*x Fe2O3 + x MnO2 + 0.29-x TiO2 ,1 (0.71-x)BiFeO3-(0.29-x)BaTiO3+Bi2O3-xMnO2 + 0.29-x CO2
25329,0.4 Ga2O3 + 0.45 La2O3 + 0.2 MgO + 0.075 O2 + 0.1 SrO ,1 La0.9Sr0.1Ga0.8Mg0.2O3
25330,4.5 BaCO3 + 4.5 La2O3 + 18 TiO2 ,1 Ba4.5La9Ti18O54 + 4.5 CO2
25331,4.5 BaCO3 + 4.5 Nd2O3 + 18 TiO2 ,1 Ba4.5Nd9Ti18O54 + 4.5 CO2
25332,0.06 BaCO3 + 0.235+0.47*x Bi2O3 + 0.235-0.47*x Na2CO3 + 1 TiO2 ,1 0.94(Bi0.5+xNa0.5-x)TiO3-0.06BaTiO3 + 0.295-0.47*x CO2 + 0.47*x O2
25333,0.5 Bi2O3 + 0.5 Nb2O5 ,1 BiNbO4
25334,0.8*y CaCO3 + 0.5-0.5*y La2O3 + 0.4-0.4*y MgO + 0.5-0.5*y SnO2 + 0.1+0.1*y SrCO3 + y TiO2 ,1 (1-y)La(Mg0.4Sr0.1Sn0.5)O3-yCa0.8Sr0.2TiO3 + 0.1+0.9*y CO2
25335,0.49 Li2CO3 + 0.02 LiF + 1.95 MnO2 + 0.05 NiO ,1 LiMn1.95Ni0.05O3.98F0.02 + 0.49 CO2 + 0.23 O2
25336,1 Li2CO3 + 3 TiO2 + 1 ZnCO3 ,1 Li2ZnTi3O8 + 2 CO2
25337,1 Bi2O3 + 1-x CaCO3 + 2 CuO + 2 SrCO3 + 0.5*x V2O5 ,1 Bi2Sr2Ca1-xVxCu2O + 3-x CO2 + 3.5+0.75*x O2
25338,0.38*x BaCO3 + 0.01*x Bi2O3 + 0.006+0.005*x La2O3 + x Nb2O5 + 0.988-0.431*x PbO + 0.469-0.469*x TiO2 + 0.528-0.528*x ZrO2 ,1 (1-x)(Pb0.988La0.012)(Zr0.53Ti0.47)0.997O3-xPb0.557Ba0.38La0.022Bi0.02Nb2O6 + 0.38*x CO2
25339,1-x CoO + x H3BO3 + 1-x Nb2O5 + 1-x ZrO2 ,1 (1-x)CoZrNb2O8-xH3BO3
25340,0.333*x MgO + 0.334*x Nb2O5 + 1 PbO + 0.6-0.6*x TiO2 + 0.4-0.4*x ZrO2 ,1 xPb(Mg1/3Nb2/3)O3-(1-x)Pb(Zr0.4Ti0.6)O3
25341,1-x BaCO3 + x SrCO3 + 1-y TiO2 + y ZrO2 ,1 (Ba1-xSrx)(ZryTi1-y)O3 + 1 CO2
25342,1-x BaCO3 + x SrCO3 + 0.95 TiO2 + 0.05 ZrO2 ,1 (Ba1-xSrx)(Zr0.05Ti0.95)O3 + 1 CO2
25343,0.026 MnO2 + 0.014 Nb2O5 + 1 PbO + 0.014 Sb2O3 + 0.46 TiO2 + 0.874 ZrO2 ,1 Pb((Mn0.33Nb0.67)0.5(Mn0.33Sb0.67)0.5)0.08(Zr0.95Ti0.5)0.92O3 + 0.414 O2
25344,0.5*x Al2O3 + 0.85-0.85*x BaCO3 + 0.5*x Bi2O3 + 0.15-0.15*x CaCO3 + 0.9-0.9*x TiO2 + 0.1-0.1*x ZrO2 ,1 (1-x)(Ba0.85Ca0.15)(Zr0.1Ti0.9)O3-xBiAlO3 + 1-x CO2
25345,0.25 Na2CO3 + 0.25 Nd2O3 + x SnO2 + 1-x TiO2 ,1 Na1/2Nd1/2Ti1-xSnxO3 + 0.25 CO2
25346,1-x BaCO3 + 0.5*x Ho2O3 + 1 TiO2 ,1 (Ba1-xHox)TiO3 + 1-x CO2 + 0.25*x O2
25347,3-x CaCO3 + 2 Co2O3 + 0.5*x Nd2O3 ,1 Ca3-xNdxCo4O + 3-x CO2 + 4+0.25*x O2
25348,0.245-0.245*x K2CO3 + 0.5*x Li2CO3 + 0.255-0.255*x Na2CO3 + 0.5 Nb2O5 ,1 (1-x)K0.49Na0.51NbO3-xLiNbO3 + 0.5 CO2
25349,1-x CaCO3 + 3 CuO + 0.5 La2O3 + 4 TiO2 ,1 Ca1-xLa(2/3)xCu3Ti4O12 + 1-x CO2 + 0.75-0.5*x O2
25350,1 CaCO3 + 3 CuO + 4 TiO2 ,1 CaCu3Ti4O12 + 1 CO2
25351,0.01 La2O3 + 0.97 PbO + 0.35 SnO2 + 0.09 TiO2 + 0.56 ZrO2 ,1 Pb0.97La0.02(Zr0.56Sn0.35Ti0.09)O3
25352,6-3*x BaCO3 + 4+x La2O3 + 18 TiO2 ,1 Ba6-3xLn8+2xTi18O54 + 6-3*x CO2; Ln = La
25353,6-3*x BaCO3 + 4+x Sm2O3 + 18 TiO2 ,1 Ba6-3xLn8+2xTi18O54 + 6-3*x CO2; Ln = Sm
25354,1-x CaCO3 + 0.5*x La2O3 + 1-0.25*x TiO2 ,1 Ca1-xLaxTi1-x/4O3 + 1-x CO2
25355,0.01 Bi2O3 + 0.232 K2CO3 + 0.258 Na2CO3 + 0.456 Nb2O5 + 0.024 O2 + 0.024 Sb2O3 + 0.04 ZrO2 ,1 0.96(K0.48Na0.52)(Nb0.95Sb0.05)O3-0.04Bi0.5(Na0.82K0.18)0.5ZrO3 + 0.49 CO2
25356,0.5 MgO + 0.5-0.5*x Nd2O3 + 0.5*x Sm2O3 + 0.5 SnO2 ,1 Nd1-xSmx(Mg0.5Sn0.5)O3
25357,0.24 K2CO3 + 0.75*x MoO3 + 0.26 Na2CO3 + 0.5-0.5*x Nb2O5 + 0.25*x SrCO3 ,1 (K0.48Na0.52)Nb1-x(Mo3/4Sr1/4)xO3 + 0.5+0.25*x CO2
25358,0.25-0.5*x K2CO3 + x MnO2 + 0.25-0.5*x Na2CO3 + 0.5-x Nb2O5 ,1 (1-x-x)K0.5Na0.5NbO3-(x-x)CaTi0.9Zr0.1O3-xMnO2 + 0.5-x CO2
25359,6 BaCO3 + 0.5 Fe2O3 + 4.5 Nb2O5 ,1 Ba6FeNb9O30 + 6 CO2
25360,0.85 BaCO3 + 0.15 CaCO3 + 0.9 TiO2 + 0.1 ZrO2 ,1 Ba0.85Ca0.15Ti0.9Zr0.1O3 + 1 CO2
25361,1 CdO + 1 Fe2O3 ,1 CdFe2O4
25362,0.5*x K2CO3 + 0.505-0.5*x Na2CO3 + 0.5 Nb2O5 ,1 (Na1.015-xKx)NbO3 + 0.505 CO2 + 0.002 O2
25363,y Al(OH)3 + x Ca(OH)2 + 0.5*y La2O3 + 0.2-0.2*x-0.2*y Mg(OH)2-4MgCO3\u00b75H2O + 1-y TiO2 ,1 ((Mg1-x-yCax)Lay)(Ti1-yAly)O3 + 0.8-0.8*x-0.8*y CO2 + 1.2-0.2*x+0.3*y H2O
25364,0.6 BaCO3 + 0.5*x Bi2O3 + 0.4 SrCO3 + 1 TiO2 ,1 (Ba0.6Sr0.4)1-BixTiO3 + 1 CO2 + 0.75*x O2
25365,1 Li2CO3 + 3 TiO2 + 1 ZnO ,1 Li2ZnTi3O8 + 1 CO2
25366,x CeO2 + 1-x K0.5Na0.5NbO3 ,1 (1-x)K0.5Na0.5NbO3-xCeO2
25367,-x CeO2 + 1 K0.5Na0.5NbO3 + x O2 ,1 K0.5Na0.5NbO3-Ce-x
25368,0.3-x BaCO3 + 0.5*(0.7-x)*(1-x) Bi2O3 + 0.35-0.5*x Fe2O3 + 0.5*x*(0.7-x) La2O3 + x MnO2 + 0.3-x TiO2 ,1 (0.7-x)Bi1-xLaxFeO3-(0.3-x)BaTiO3-xMnO2 + 0.3-x CO2 + -0.525+0.75*x+0.75*x*(0.7-x)+0.75*(0.7-x)*(1-x) O2
25369,1-x CaCO3 + 0.5*x LiCO3 + 0.25*x Nd2O3 + 1 TiO2 ,1 (1-x)CaTiO3-x(Li0.5Nd0.5)TiO3 + 1-0.5*x CO2 + 0.125*x O2
25370,0.29 BaCO3 + 0.355 Bi2O3 + 0.348 Fe2O3 + 0.297 TiO2 + 0.007 ZnO ,1 0.696BiFeO3-0.014Bi(Zn1/2Ti1/2)O3-0.29BaTiO3 + 0.29 CO2
25371,0.9 Bi2O3 + 1.1 CaCO3 + 2.1 CuO + 2 SrCO3 + x WO3 ,1 Bi1.8Sr2WxCa1.1Cu2.1O + 3.1 CO2 + 3.45+1.5*x O2
25372,2-0.5*x La2O3 + 0.5*x Sm2O3 + 1 SrCO3 + 5 TiO2 ,1 SrLa4-xSmxTi5O17 + 1 CO2
25373,3 (NH4)2HPO4 + 4 MgO + 0.5 Na2CO3 ,1 NaMg4(PO4)3 + 0.5 CO2 + 4.5 H2O + 6 NH3
25374,0.5*x Li2CO3 + 0.5-0.25*x O2 + 1 TiO2 ,1 (Li)xTiO3 + 0.5*x CO2
25375,1 Li2CO3 + 3 MgO + 1 TiO2 ,1 Li2Mg3TiO6 + 1 CO2
